motion;docdate
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1923/mot-1923--fk--00134.xml;Stockholm             den 26 januari 1923.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1924/mot-1924--ak--00218.xml;Stockholm             den 21 januari 1924.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1924/mot-1924--ak--00357.xml;Stockholm den 20 februari 1924.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1924/mot-1924--fk--00268.xml;Stockholm den 28 mars 1924.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1925/mot-1925--ak--00146.xml;Stockholm den 22 januari 1925.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1925/mot-1925--ak--00174.xml;Stockholm den 21 januari 1925.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1925/mot-1925--fk--00126.xml;Stockholm den             22 januari 1925.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1926/mot-1926--ak--00010.xml;Stockholm den 15 januari 1926.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1926/mot-1926--ak--00059.xml;Stockholm den             19 januari 1926.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1926/mot-1926--fk--00229.xml;Stockholm den 10 februari 1926.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1927/mot-1927--ak--00244.xml;Stockholm den 21 januari 1927.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1927/mot-1927--ak--00331.xml;Stockholm den 11 mars 1927.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1927/mot-1927--ak--00406.xml;Stockholm den 17 mars 1927.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1928/mot-1928--ak--00163.xml;Stockholm den 20 januari 1928.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1928/mot-1928--ak--00450.xml;Stockholm             den 16 mars 1928.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1928/mot-1928--fk--00284.xml;Stockholm den 15 mars 1928.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1929/mot-1929--ak--00117.xml;Stockholm den 21 januari 1929.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1929/mot-1929--ak--00198.xml;Stockholm den 21 januari 1929.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1929/mot-1929--fk--00193.xml;Stockholm den 21 januari 1929.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1930/mot-1930--ak--00001.xml;Stockholm den 13 januari 1930.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1930/mot-1930--ak--00211.xml;Stockholm den 21 januari 1930.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1930/mot-1930--fk--00052.xml;Stockholm den 18 januari 1930.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1931/mot-1931--ak--00357.xml;Stockholm             den 28 februari 1931.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1931/mot-1931--fk--00163.xml;Stockholm             den 22 januari 1931.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1931/mot-1931--fk--00224.xml;Stockholm den 28 februari 1931.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1932/mot-1932--ak--00221.xml;Stockholm den 22 januari 1932.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1932/mot-1932--ak--00285.xml;Stockholm den 21 januari 1932.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1932/mot-1932--fk--00027.xml;Stockholm den 19 januari 1932.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1933/mot-1933--ak--00264.xml;Stockholm             den 21 januari 1933.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1933/mot-1933--ak--00406.xml;Stockholm den 31 januari 1933.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1933/mot-1933--ak--00515.xml;Stockholm den 20 april 1933.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1934/mot-1934--ak--00094.xml;Stockholm den 20 januari 1934.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1934/mot-1934--ak--00588.xml;Stockholm den 21 mars 1934.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1934/mot-1934--fk--00051.xml;Stockholm den 18 januari 1934.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1935/mot-1935--ak--00015.xml;Stockholm den 15 januari 1935.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1935/mot-1935--ak--00368.xml;Stockholm den 21 januari 1985.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1935/mot-1935--ak--00627.xml;Stockholm             den 4 maj 1935.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1936/mot-1936--ak--00144.xml;Stockholm den 17 januari 1936.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1936/mot-1936--ak--00174.xml;Stockholm den 18 januari 1936.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1936/mot-1936--ak--00594.xml;Stockholm den 23 januari 1936.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1937/mot-1937--ak--00034.xml;Stockholm den 16 januari 1937.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1937/mot-1937--ak--00342.xml;Stockholm 1 januari 1937.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1937/mot-1937--ak--00448.xml;Stockholm den 9 mars 1937. 
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1938/mot-1938--ak--00414.xml;Stockholm den 22 mars 1938.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1938/mot-1938--fk--00152.xml;Stockholm den 22 januari 1938.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1938/mot-1938--fk--00225.xml;Stockholm den 31 januari 1938.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1939/mot-1939--ak--00325.xml;Stockholm den 23 januari 1939.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1939/mot-1939--ak--00423.xml;Stockholm i mars 1939.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1939/mot-1939--fk--00327.xml;Stockholm den 21 april 1939.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1940/mot-1940--fk--00176.xml;Stockholm den 1 april 1940.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1940/mot-1940--fk--00214.xml;Stockholm den 25 maj 1940.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1940/mot-1940-urtima-fk--00030.xml;Stockholm den 4 december 1940.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1941/mot-1941--ak--00182.xml;Stockholm den 23 januari 1941.
https://github.com/swerik-project/riksdagen-motions/blob/main/data/1941/mot-1941--ak--00312.xml;Stockholm den 25 maj 1941.
